,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
30,หัวหิน,Hua Hin,เขาหินเหล็กไฟ อ.หัวหิน จ.ประจวบคีรีขันธ์,99.935176,12.565142,A1,POINT (99.935176 12.565142)
31,เพชรบุรี,Phetchaburi,เขาบันไดอิฐ 1 หมู่ที่ 5 ต.บ้านหม้อ อ.เมือง จ.เพชรบุรี ,99.929012,13.104522,A1,POINT (99.929012 13.104522)
32,ทับสะแก,Thap Sakae,เขาสมอสาม ถ.เพชรเกษม ต.อ่างทอง อ.ทับสะแก จ.ประจวบคีรีขันธ์,99.58825,11.41896,A1,POINT (99.58825 11.41896)
33,ปากน้ำปราณ,Pak Nam Pran,ต.ปากน้ำปราณ อ.ปราณบุรี จ.ประจวบคีรีขันธ์,99.990111,12.342,A3,POINT (99.990111 12.342)
34,นครราชสีมา,Nakhon Ratchasima,272 หมู่ที่ 9 ต.โคกกรวด อ.เมือง จ.นครราชสีมา,101.995052,14.947688000000001,M,POINT (101.995052 14.947688)
35,ชุมพวง,Chum Phuang,94 หมู่ที่ 19 ต.โนนรัง อ.ชุมพวง จ.นครราชสีมา,102.79406,15.27316,A1,POINT (102.79406 15.27316)
36,เขายายเที่ยง,Khao Yai Thiang,เขายายเที่ยง 111 หมู่ที่ 12  ต.หนองสาหร่าย  อ.ปากช่อง  จ.นครราชสีมา  ,101.546679,14.78609,A1,POINT (101.546679 14.78609)
37,เขาสลัดได,Wang Nam Khiao,เขาสลัดได อ.วังน้ำเขียว  จ.นครราชสีมา,101.90061999999999,14.415441,A3,POINT (101.90062 14.415441)
38,ชัยภูมิ,Chaiyaphum,412 หมู่ที่ 1 ต.บุ่งคล้า อ.เมือง จ.ชัยภูมิ,102.02674,15.72957,M,POINT (102.02674 15.72957)
39,หนองบัวแดง 1,Nong Bua Daeng,ภูแลนคา  อ. หนองบัวแดง  จ. ชัยภูมิ,101.8953,15.999857999999998,A1,POINT (101.8953 15.999858)
40,หนองบัวแดง 2,Nong Bua Daeng 2,ต.หนองบัวแดง อ.หนองบัวแดง จ.ชัยภูมิ ,101.804348,16.082553,A2,POINT (101.804348 16.082553)
41,ภักดีชุมพล,Phakdi Chumphon,ต.เจาทอง อ.ภักดีชุมพล จ.ชัยภูมิ,101.423038,15.906293,A3,POINT (101.423038 15.906293)
42,เทพสถิต,Thep Sathit,ต.วะตะแบก อ.เทพสถิตย์ จ.ชัยภูมิ,101.43777299999999,15.389768,A3,POINT (101.437773 15.389768)
43,สุรินทร์,Surin,227 หมู่ที่ 1 ต.แกใหญ่ อ.เมือง จ.สุรินทร์,103.50768000000001,14.91952,M,POINT (103.50768 14.91952)
44,บุรีรัมย์,Buriram,218 หมู่ที่ 13  ต.เสม็ด  อ.เมือง  จ.บุรีรัมย์,103.098123,14.934247000000001,A1,POINT (103.098123 14.934247)
45,นางรอง,Nang Rong,ต.นางรอง   อ.นางรอง  จ.บุรีรัมย์,102.70518,14.643154000000001,A3,POINT (102.70518 14.643154)
46,ศรีสะเกษ,Sisaket,ต.ซำ อ.เมือง จ.ศรีสะเกษ,104.345228,15.042330999999999,M,POINT (104.345228 15.042331)
47,กันทรลักษ์,Kantharalak,ต.น้ำอ้อม  อ.กันทรลักษ์  จ.ศรีสะเกษ,104.651717,14.641479,A2,POINT (104.651717 14.641479)
48,อุบลราชธานี,Ubon Ratchathani,122 หมู่ที่ 7 ต.หนองบก อ.เหล่าเสือโก๊ก จ.อุบลราชธานี,104.92361100000001,15.381667000000002,M,POINT (104.923611 15.381667)
49,อำนาจเจริญ,Amnat Charoen,ศูนย์ราชการที่ 1 ถ.ชยางกูร อ.เมือง จ.อำนาจเจริญ,104.618922,15.898967,A1,POINT (104.618922 15.898967)
50,บุณฑริก,Buntharik,ต.โพนงาม อ.บุณฑริก จ.อุบลราชธานี ,105.413027,14.756517,A2,POINT (105.413027 14.756517)
